twitter,name
katyperry,KATY PERRY
justinbieber,Justin Bieber
taylorswift13,Taylor Swift
rihanna,Rihanna
ladygaga,The Countess
jtimberlake,Justin Timberlake
TheEllenShow,Ellen DeGeneres
britneyspears,Britney Spears
Cristiano,Cristiano Ronaldo
KimKardashian,Kim Kardashian West
shakira,Shakira
selenagomez,Selena Gomez
JLo,Jennifer Lopez
ArianaGrande,Ariana Grande
ddlovato,Demi Lovato
jimmyfallon,jimmy fallon
Oprah,Oprah Winfrey
Pink,P!nk
Drake,Drizzy
Harry_Styles,Harry Styles.
onedirection,One Direction
BillGates,Bill Gates
KingJames,LeBron James
LilTunechi,Lil Wayne WEEZY F
BrunoMars,Bruno Mars
KAKA,Kaka
Adele,Adele
NiallOfficial,Niall Horan
MileyCyrus,Miley Ray Cyrus
aliciakeys,Alicia Keys
KevinHart4real,Kevin Hart
wizkhalifa,Cameron
pitbull,Pitbull
Real_Liam_Payne,Liam
Louis_Tomlinson,Louis Tomlinson
NICKIMINAJ,NICKI MINAJ
neymarjr,Neymar Jr
Eminem,Marshall Mathers
EmWatson,Emma Watson
AvrilLavigne,Avril Lavigne
ActuallyNPH,Neil Patrick Harris
danieltosh,daniel tosh
davidguetta,David Guetta
ConanOBrien,"""Conan O'Brien"""
SrBachchan,Amitabh Bachchan
aplusk,ashton kutcher
khloekardashian,Khloé
kourtneykardash,Kourtney Kardashian
zaynmalik,zayn
iamsrk,Shah Rukh Khan
coldplay,Coldplay
MariahCarey,Mariah Carey
edsheeran,Ed Sheeran
xtina,Christina Aguilera
JimCarrey,Jim Carrey
kanyewest,KANYE WEST
chrisbrown,Chris Brown
aamir_khan,Aamir Khan
BeingSalmanKhan,Salman Khan
agnezmo,AGNEZ MO
Beyonce,Beyoncé Knowles
blakeshelton,Blake Shelton
RyanSeacrest,Ryan Seacrest
ivetesangalo,Ivete Sangalo
LeoDiCaprio,Leonardo DiCaprio
ParisHilton,Paris Hilton
iamwill,will.i.am
MohamadAlarefe,د. محمد #العريفي
KendallJenner,Kendall Jenner
ashleytisdale,AshleyTisdaleFrench
tyrabanks,Tyra Banks
SnoopDogg,Snoop Dogg
AlejandroSanz,Alejandro Sanz
ricky_martin,Ricky Martin
10Ronaldinho,Ronaldinho Gaúcho
SimonCowell,Simon Cowell
WayneRooney,Wayne Rooney
KDTrey5,Kevin Durant
maroon5,Maroon 5
radityadika,raditya dika
KylieJenner,Kylie Jenner
ClaudiaLeitte,Claudia Leitte
DaniloGentili,Danilo Gentili
