Katy Perry,36,katyperry
Justin Bieber,27,justinbieber
Taylor Swift,31,taylorswift13
Rihanna,33,rihanna
Sophie,56,ladygaga
Justin Timberlake,40,jtimberlake
Ellen DeGeneres,63,TheEllenShow
Britney Spears,39,britneyspears
Cristiano Ronaldo,36,Cristiano
Kim Kardashian,40,KimKardashian
King Shaka kaSenzangakhona,0,shakira
Selena Gomez,28,selenagomez
Jennifer Lopez,51,JLo
Ariana Grande,27,ArianaGrande
Demi Lovato,28,ddlovato
Oprah Winfrey,67,Oprah
Drake,34,Drake
Harry Styles,27,Harry_Styles
One Direction,0,onedirection
Lil Wayne,38,LilTunechi
Bruno Mars,35,BrunoMars
Miley Cyrus,28,MileyCyrus
Alicia Keys,40,aliciakeys
,0,wizkhalifa
Pit bull,0,pitbull
Ian,0,Real_Liam_Payne
Louis Tomlinson,29,Louis_Tomlinson
Nicki Minaj,38,NICKIMINAJ
Eminem,48,Eminem
Emma Watson,30,EmWatson
Avril Lavigne,36,AvrilLavigne
Neil Patrick Harris,47,ActuallyNPH
Daniel Tosh,45,danieltosh
Conan O'Brien,57,ConanOBrien
Amitabh Bachchan,78,SrBachchan
Khloé Kardashian,36,khloekardashian
Kourtney Kardashian,41,kourtneykardash
Shah Rukh Khan,55,iamsrk
Coldplay,0,coldplay
Christina Aguilera,40,xtina
Chris Brown,31,chrisbrown
Salman Khan,55,BeingSalmanKhan
Beyoncé,39,Beyonce
Blake Shelton,44,blakeshelton
Ivete Sangalo,48,ivetesangalo
Leonardo DiCaprio,46,LeoDiCaprio
Paris Hilton,40,ParisHilton
Muhammad al-Arifi,50,MohamadAlarefe
Kendall Jenner,25,KendallJenner
Ashley Tisdale,35,ashleytisdale
Snoop Dogg,49,SnoopDogg
Alejandro Sanz,52,AlejandroSanz
Ricky Martin,49,ricky_martin
Ronaldinho,41,10Ronaldinho
Simon Cowell,61,SimonCowell
Kevin Durant,32,KDTrey5
,0,maroon5
Raditya Dika,36,radityadika
Claudia Leitte,40,ClaudiaLeitte
Danilo Gentili,41,DaniloGentili
Ahmad al-Shukeiri<br /><small>أحمد الشقيري</small>,0,shugairi
Deepika Padukone,35,deepikapadukone
Charlie Sheen,55,charliesheen
Andrés Iniesta,36,andresiniesta8
Hrithik Roshan,47,iHrithik
Priyanka Chopra Jonas,38,priyankachopra
Luciano Huck,49,LucianoHuck
Gerard Piqué,34,3gerardpique
Zac Efron,33,ZacEfron
Carly Rae Jepsen,35,carlyraejepsen
Janes,0,juanes
Paulina Rubio,49,paurubio
Sean Combs,51,iamdiddy
Ludacris,43,Ludacris
Paulo Coelho,73,paulocoelho
Sabrina Sato,40,SabrinaSatoReal
Aaidh ibn Abdullah al-Qarni,62,Dr_alqarnee
Usher,42,Usher
Akshay Kumar,53,akshaykumar
Luna Maya,37,LunaMaya26
