Katy Perry,36,katyperry
Justin Bieber,27,justinbieber
Taylor Swift,31,taylorswift13
Rihanna,33,rihanna
Sophie,{{Birth date and age|1965|1|20|df|=|yes}},ladygaga
Justin Timberlake,40,jtimberlake
Ellen DeGeneres,63,TheEllenShow
Britney Spears,39,britneyspears
Cristiano Ronaldo,{{birth date and age|1985|2|5|df|=|y}},Cristiano
Kim Kardashian,40,KimKardashian
King Shaka kaSenzangakhona,{{circa|July 1787}},shakira
Selena Gomez,28,selenagomez
Jennifer Lopez,51,JLo
Ariana Grande,27,ArianaGrande
Demi Lovato,28,ddlovato
Oprah Winfrey,67,Oprah
Drake,{{Birth date and age|1986|10|24|mf|=|yes}},Drake
Harry Styles,{{Birth date and age|df|=|yes|1994|2|1}},Harry_Styles
One Direction,,onedirection
Lil Wayne,{{nowrap|birth date and age|1982|9|27}} {{birth date and age|1982|9|27}},LilTunechi
Bruno Mars,35,BrunoMars
Miley Cyrus,28,MileyCyrus
Alicia Keys,40,aliciakeys
,,wizkhalifa
Pit bull,,pitbull
Ian,,Real_Liam_Payne
Louis Tomlinson,{{Birth date and age|df|=|y|1991|12|24}},Louis_Tomlinson
Nicki Minaj,38,NICKIMINAJ
Eminem,48,Eminem
Emma Watson,{{Birth date and age|df|=|yes|1990|4|15}},EmWatson
Avril Lavigne,{{nowrap|Birth date and age|mf|=|yes|1984|9|27}} {{Birth date and age|mf|=|yes|1984|9|27}},AvrilLavigne
Neil Patrick Harris,{{Birth date and age|mf|=|yes|1973|6|15}},ActuallyNPH
Daniel Tosh,45,danieltosh
Conan O'Brien,57,ConanOBrien
Amitabh Bachchan,{{Birth date and age|df|=|y|1942|10|11}},SrBachchan
Khloé Kardashian,36,khloekardashian
Kourtney Kardashian,41,kourtneykardash
Shah Rukh Khan,{{birth date and age|1965|11|2|df|=|yes}},iamsrk
Coldplay,,coldplay
Christina Aguilera,{{Birth date and age|mf|=|yes|1980|12|18}},xtina
Chris Brown,31,chrisbrown
Salman Khan,{{Birth date and age|df|=|y|1965|12|27}},BeingSalmanKhan
Beyoncé,39,Beyonce
Blake Shelton,44,blakeshelton
Ivete Sangalo,48,ivetesangalo
Leonardo DiCaprio,46,LeoDiCaprio
Paris Hilton,{{Birth date and age|mf|=|yes|1981|2|17}},ParisHilton
Muhammad al-Arifi,{{birth date and age|df|=|yes|1970|7|15}},MohamadAlarefe
Kendall Jenner,25,KendallJenner
Ashley Tisdale,35,ashleytisdale
Snoop Dogg,49,SnoopDogg
Alejandro Sanz,{{birth date and age|mf|=|yes|1968|12|18}},AlejandroSanz
Ricky Martin,49,ricky_martin
Ronaldinho,{{birth date and age|1980|3|21|df|=|y}},10Ronaldinho
Simon Cowell,{{Birth date and age|df|=|yes|1959|10|7}},SimonCowell
Kevin Durant,{{birth date and age|mf|=|yes|1988|9|29}},KDTrey5
